iter	MultiClass
0	1.047595079
1	1.006330293
2	0.9738116571
3	0.9469330534
4	0.9245003667
5	0.9065947697
6	0.890973372
7	0.8780548324
8	0.867025365
9	0.8577847712
10	0.850057908
11	0.8433842395
12	0.8376363745
13	0.8328255835
14	0.8291033141
15	0.825455093
16	0.8223775671
17	0.8198743556
18	0.8175425915
19	0.8157378832
20	0.8140957561
21	0.8125393575
22	0.8113872432
23	0.8102276188
24	0.8091131882
25	0.8078853454
26	0.8069457436
27	0.8060524227
28	0.8052259094
29	0.8043173667
30	0.8036731523
31	0.8028941578
32	0.8020833138
33	0.8016780694
34	0.8007441663
35	0.8002991035
36	0.7999672819
37	0.7990436086
38	0.7985062559
39	0.7978148517
40	0.796704461
41	0.7961755332
42	0.795584572
43	0.795194196
44	0.794949715
45	0.7946044389
46	0.7940324201
47	0.7936749545
48	0.7927094811
49	0.792253261
50	0.7914518576
51	0.7913533119
52	0.7911038836
53	0.7907828689
54	0.7904605989
55	0.7901640801
56	0.7898238213
57	0.7893039015
58	0.7888985607
59	0.7883311064
60	0.7878672743
61	0.7874191071
62	0.7871871387
63	0.7865863566
64	0.7862529589
65	0.785931021
66	0.7857047038
67	0.7853917594
68	0.7851806291
69	0.784813874
70	0.7842810995
71	0.7840050147
72	0.7833005922
73	0.7829625889
74	0.782519147
75	0.7822381232
76	0.7818464016
77	0.7812992207
78	0.7807754365
79	0.7803556427
80	0.779895455
81	0.7797829303
82	0.779249471
83	0.7792357119
84	0.7786240838
85	0.7783761008
86	0.7780805046
87	0.7774736101
88	0.7773188174
89	0.7771719031
90	0.7767972522
91	0.7765611931
92	0.7759798463
93	0.7758191514
94	0.7754687807
95	0.7751464006
96	0.7744837704
97	0.774096875
98	0.7739019248
99	0.7736891708
100	0.7733988449
101	0.7730638908
102	0.7727687337
103	0.7723511595
104	0.7720018642
105	0.7712469339
106	0.7707940755
107	0.7703416196
108	0.7698737421
109	0.7695209235
110	0.769089414
111	0.7687217473
112	0.7682796414
113	0.7678643587
114	0.7676304062
115	0.7675453878
116	0.7668984756
117	0.7665510973
118	0.7663148678
119	0.7657455191
120	0.7655071195
121	0.7652724076
122	0.7650883382
123	0.7647407534
124	0.764662282
125	0.7645646708
126	0.7644021613
127	0.7640981297
128	0.7636319205
129	0.7632553706
130	0.7630207977
131	0.7625508326
132	0.7620880659
133	0.761868566
134	0.7614961493
135	0.7613699858
136	0.7610952211
137	0.7608320319
138	0.7602897717
139	0.7600255292
140	0.7596572026
141	0.7594142051
142	0.7592558235
143	0.7587765652
144	0.7583432389
145	0.7577293404
146	0.757387906
147	0.7572223912
148	0.757049616
149	0.7566394486
150	0.7564338407
151	0.7561897014
152	0.7560357247
153	0.7557865346
154	0.7553272967
155	0.7550757255
156	0.7549794824
157	0.7543502052
158	0.754022516
159	0.7536454456
160	0.7533296908
161	0.7531859798
162	0.7529766409
163	0.7526944484
164	0.7524542277
165	0.7521048058
166	0.7516841623
167	0.7513300172
168	0.7511092508
169	0.7506428354
170	0.7502919811
171	0.7500340385
172	0.7497195993
173	0.7493101469
174	0.7490589243
175	0.7485968342
176	0.7481783742
177	0.7478722031
178	0.7475749128
179	0.7473132481
180	0.746900348
181	0.7466010007
182	0.746237459
183	0.7458949033
184	0.7456493594
185	0.745255042
186	0.7449623026
187	0.7444560997
188	0.7442039014
189	0.7437878585
190	0.7435114699
191	0.7428387798
192	0.7426956684
193	0.7422963095
194	0.7421468748
195	0.7416587479
196	0.7411680625
197	0.7410109252
198	0.7408525258
199	0.7405508969
200	0.7401049159
201	0.739956952
202	0.739522068
203	0.7392034819
204	0.7389494644
205	0.7387190496
206	0.7384311632
207	0.7377658906
208	0.7373283877
209	0.7370227905
210	0.736693364
211	0.736409422
212	0.7361468543
213	0.7358220383
214	0.7355983585
215	0.7352186773
216	0.7347664312
217	0.7343688121
218	0.7341661453
219	0.7340401772
220	0.7336773074
221	0.7335043867
222	0.7331067677
223	0.7328529212
224	0.7325495237
225	0.7321610788
226	0.7320491322
227	0.7317864989
228	0.7314789716
229	0.7312536214
230	0.7310653078
231	0.7308846865
232	0.7305566127
