iter	Passed	Remaining
401	8291	12334
402	8308	12308
403	8322	12277
404	8338	12249
405	8349	12216
406	8361	12182
407	8372	12148
408	8387	12120
409	8397	12084
410	8411	12054
411	8429	12029
412	8441	11998
413	8452	11964
414	8463	11929
415	8482	11907
416	8498	11881
417	8521	11864
418	8534	11834
419	8552	11810
420	8562	11776
421	8575	11745
422	8593	11721
423	8607	11693
424	8621	11665
425	8642	11645
426	8655	11614
427	8668	11584
428	8688	11564
429	8698	11531
430	8709	11497
431	8720	11466
432	8732	11435
433	8742	11401
434	8753	11369
435	8770	11345
436	8785	11319
437	8796	11286
438	8814	11264
439	8824	11231
440	8836	11200
441	8847	11169
442	8857	11137
443	8869	11106
444	8879	11074
445	8890	11042
446	8902	11013
447	8917	10988
448	8934	10964
449	8947	10936
450	8959	10906
451	8974	10880
452	8991	10856
453	9001	10826
454	9013	10796
455	9031	10774
456	9042	10744
457	9052	10713
458	9066	10686
459	9076	10655
460	9090	10628
461	9107	10606
462	9127	10586
463	9148	10568
464	9164	10544
465	9179	10519
466	9189	10488
467	9201	10459
468	9211	10428
469	9223	10400
470	9235	10372
471	9252	10350
472	9268	10326
473	9287	10306
474	9308	10288
475	9328	10268
476	9338	10239
477	9356	10217
478	9379	10201
479	9397	10180
480	9413	10157
481	9429	10133
482	9449	10114
483	9466	10092
484	9484	10071
485	9501	10049
486	9522	10031
487	9540	10009
488	9557	9987
489	9578	9969
490	9592	9943
491	9609	9922
492	9630	9903
493	9646	9881
494	9665	9860
495	9688	9844
496	9708	9825
497	9725	9803
498	9748	9787
499	9769	9769
500	9792	9753
501	9814	9736
502	9837	9720
503	9863	9706
504	9887	9691
505	9905	9670
506	9923	9649
507	9936	9623
508	9952	9600
509	9973	9582
510	9993	9563
511	10014	9545
512	10030	9522
513	10049	9501
514	10065	9478
515	10075	9450
516	10087	9423
517	10099	9398
518	10113	9372
519	10126	9347
520	10141	9323
521	10161	9304
522	10182	9286
523	10197	9263
524	10220	9247
525	10235	9223
526	10245	9195
527	10255	9167
