iter	RMSE
165	97.66804221
166	97.59417815
167	97.51252081
168	97.43325795
169	97.36647914
170	97.3012553
171	97.22486598
172	97.09077409
173	96.99672297
174	96.91385381
175	96.77070196
176	96.72508385
177	96.62606672
178	96.541465
179	96.487855
180	96.42364782
181	96.27880237
182	96.24939614
183	96.16987655
184	96.08665709
185	96.02646784
186	95.93867584
187	95.8586675
188	95.81339901
189	95.75708497
190	95.68336551
191	95.60276028
192	95.43836269
193	95.3692892
194	95.26918041
195	95.21124091
196	95.1087786
197	95.05736936
198	94.99851303
199	94.95373487
200	94.85090468
201	94.78471761
202	94.70009074
203	94.6558842
204	94.62145853
205	94.56872942
206	94.54732941
207	94.47786208
208	94.42084178
209	94.3391914
210	94.25494655
211	94.19369545
212	94.14794082
213	94.06534502
214	94.0182265
215	93.98778386
216	93.90673072
217	93.83516241
218	93.80230635
219	93.72477175
220	93.6641271
221	93.63323741
222	93.59470793
223	93.54870563
224	93.44208576
225	93.38858486
226	93.31051908
227	93.27642173
228	93.23109676
229	93.16939491
230	93.0903384
231	93.03388479
232	92.99599248
233	92.94980949
234	92.92449931
235	92.90891513
236	92.83223728
237	92.7361939
238	92.72008728
239	92.70118224
240	92.68242712
241	92.61269003
242	92.50334117
243	92.48356783
244	92.37344497
245	92.3353382
246	92.31234963
247	92.26486253
248	92.22120362
249	92.14827127
250	92.06579434
251	92.0030913
252	91.98408248
253	91.94089709
254	91.92098396
255	91.89380853
256	91.86064108
257	91.83883271
258	91.79391847
259	91.71038922
260	91.66857983
261	91.60007002
262	91.50434867
263	91.4458981
264	91.37081186
265	91.34292543
266	91.27308701
267	91.17428656
268	91.08175303
269	91.05359231
270	90.96623952
271	90.89271326
272	90.80348469
273	90.74696381
274	90.72001136
275	90.62646359
276	90.54124121
277	90.45109167
278	90.4096811
279	90.32866382
280	90.27856804
281	90.22967939
282	90.18959657
283	90.16337001
284	90.14111902
285	90.061084
286	89.9904933
287	89.9673024
288	89.90951318
289	89.8720531
290	89.79659161
291	89.75451948
292	89.72906902
293	89.63697964
294	89.59349315
295	89.53592091
296	89.43287499
297	89.36769545
298	89.31717149
299	89.25688155
300	89.23962768
301	89.17399491
302	89.10687457
303	89.05761979
304	88.97568825
305	88.95730018
306	88.94593761
307	88.86286371
308	88.80910739
309	88.72998086
310	88.65128973
311	88.63735573
312	88.58786496
313	88.55047298
314	88.46679289
315	88.45270926
316	88.4077502
317	88.36387046
318	88.31946277
319	88.24759366
320	88.15986984
321	88.10072849
322	88.02347063
323	87.94382531
324	87.89442845
325	87.83410704
326	87.74202397
327	87.68299113
328	87.66090462
329	87.64552969
330	87.5999909
331	87.57608285
332	87.55421589
333	87.49841006
334	87.47887826
335	87.43334003
336	87.37766778
337	87.34999293
338	87.33542271
339	87.28804856
340	87.24939356
341	87.18874985
342	87.14538176
343	87.11766356
344	87.09245323
345	87.06022979
346	86.9933803
347	86.91234254
348	86.84766785
349	86.8216065
350	86.76855209
351	86.74413093
352	86.71768591
353	86.66034678
354	86.62540938
355	86.56012631
356	86.53672444
357	86.50156556
358	86.43065122
359	86.3512474
360	86.23764924
361	86.20391939
362	86.18109515
363	86.13232024
364	86.11961967
365	86.08277859
366	85.95281118
367	85.92901319
368	85.8829265
369	85.85126209
370	85.83544812
371	85.81358208
372	85.72997774
373	85.70168052
374	85.60437647
375	85.57229513
376	85.5044574
377	85.46059255
378	85.39545694
379	85.3367091
380	85.3026275
381	85.22331584
382	85.21184275
383	85.13954332
384	85.10141178
385	85.0136377
386	84.96704439
387	84.9373945
388	84.86576764
389	84.85045345
390	84.80214607
391	84.79149273
392	84.75829593
393	84.66976019
394	84.62429849
395	84.53098743
396	84.49292953
397	84.45279427
398	84.42030442
399	84.39512554
400	84.35048707
401	84.2843837
402	84.22734855
403	84.17336508
404	84.11502865
405	84.10516182
406	84.04250772
407	83.98218322
408	83.94367284
409	83.90055891
410	83.85694193
411	83.80343607
412	83.68566952
413	83.64257101
414	83.56198137
415	83.48381499
416	83.44254303
417	83.3880551
418	83.37058379
419	83.28539063
420	83.2193261
421	83.1632084
422	83.13158326
423	83.09586352
424	83.03649604
425	82.98903408
426	82.90484571
427	82.84798723
428	82.7677603
429	82.69240516
430	82.63321369
431	82.60921541
432	82.54554142
433	82.51933603
434	82.41683197
435	82.37322901
436	82.28963225
437	82.24500561
438	82.17973213
439	82.12805851
440	82.11619616
441	82.07342823
442	82.04726666
443	81.94659081
444	81.88508886
445	81.82677993
446	81.76832845
447	81.74352923
448	81.66336203
449	81.6297611
450	81.60612137
451	81.52067656
452	81.44657107
453	81.41743227
454	81.38386355
455	81.34530064
456	81.27248628
457	81.22016986
458	81.16584131
459	81.14106755
460	81.05750292
461	80.9790835
462	80.90429053
463	80.89006102
464	80.83831718
465	80.78387555
466	80.74151576
467	80.72181858
468	80.64604404
469	80.63479255
470	80.60939013
471	80.54818409
472	80.46518281
473	80.40023123
474	80.37017795
475	80.31521817
476	80.25530178
477	80.19751712
478	80.16755205
479	80.10062997
480	80.06834984
481	80.05125438
482	80.0247581
483	79.96903067
484	79.88034394
485	79.82913826
486	79.74485436
487	79.6843698
488	79.64876356
489	79.63753613
490	79.60057955
491	79.58225425
492	79.48175863
493	79.4181355
494	79.33888822
495	79.30420378
496	79.25794013
497	79.20973824
498	79.17419571
499	79.12298938
500	79.09293842
501	79.07810285
502	79.02996316
503	79.0201046
504	78.97583247
505	78.9077179
506	78.86024824
507	78.83485146
508	78.77721205
509	78.75462868
510	78.73960627
511	78.6974306
512	78.66939351
513	78.66042572
514	78.58636091
515	78.52238848
516	78.43568429
517	78.36075708
518	78.30752967
519	78.23908668
520	78.16956215
521	78.1521977
522	78.08111857
523	78.06068289
524	78.01530167
525	77.98201724
526	77.92941799
527	77.87906695
528	77.86444869
529	77.84078888
530	77.81738864
531	77.78471875
532	77.76120507
533	77.73287604
534	77.69524349
535	77.65238328
536	77.57925791
537	77.55166826
538	77.50005414
539	77.46439223
540	77.43758611
541	77.36785904
542	77.33016993
543	77.30616626
544	77.27117488
545	77.25591884
546	77.20733562
547	77.14521219
548	77.13079336
549	77.0693489
550	77.04414835
551	77.03751693
552	77.00163253
553	76.98370559
554	76.91072787
555	76.88862494
556	76.82328302
557	76.80630347
558	76.75582859
559	76.71530406
560	76.69070275
561	76.6713193
562	76.64913916
563	76.60081781
564	76.55189098
565	76.45217436
566	76.4005314
567	76.35809256
568	76.34618999
569	76.30321947
570	76.27726394
571	76.24059516
572	76.2278406
573	76.14739589
574	76.115341
575	76.05432853
576	76.02564361
577	75.9902683
578	75.95135601
579	75.90890836
580	75.85268287
581	75.80553826
582	75.75450221
583	75.70326799
584	75.67767373
585	75.64283861
586	75.55733783
587	75.47722414
588	75.43147771
589	75.41323433
590	75.40294242
591	75.38473245
592	75.34968702
593	75.30823733
594	75.2704898
595	75.24084966
596	75.20305058
597	75.18183505
598	75.14795783
599	75.08694799
600	75.06303958
601	75.02413044
602	75.01193443
603	75.00434315
604	74.95661244
605	74.9152847
606	74.86694379
607	74.79223201
608	74.73944187
609	74.6928698
610	74.6275414
611	74.56074062
612	74.51643434
613	74.48172125
614	74.4288336
615	74.39323058
616	74.30760299
617	74.27038447
618	74.23126457
619	74.20908277
620	74.18710687
621	74.14482548
622	74.13252081
623	74.11163184
624	74.10099941
625	74.0850317
626	74.07818271
627	74.04100806
628	73.97924061
629	73.89970129
630	73.83487841
631	73.78081317
632	73.71672455
633	73.66215707
634	73.64597056
635	73.6187348
636	73.61117394
637	73.56632349
638	73.5359885
639	73.51724435
640	73.48886174
641	73.43392585
642	73.41072772
643	73.37495699
644	73.34327665
645	73.3265173
646	73.28402832
647	73.20977324
648	73.14118916
649	73.11466434
650	73.06811734
651	73.04877546
652	72.9700647
653	72.93288585
654	72.91443376
655	72.89066571
656	72.82377022
657	72.80192057
658	72.75460341
659	72.71928433
660	72.66449679
661	72.63041092
662	72.60742199
663	72.557168
664	72.53184148
665	72.50075791
666	72.46961541
667	72.45227914
668	72.44241879
669	72.38661623
670	72.32866692
671	72.31584257
672	72.29745544
673	72.26511982
674	72.22361415
675	72.18223055
676	72.16302668
677	72.15098764
678	72.10359405
679	72.07252914
680	72.05481024
681	72.03717584
682	72.02200725
683	71.98396491
684	71.96533509
685	71.89810244
686	71.87773456
687	71.85113191
688	71.83790674
689	71.7783779
690	71.74865861
691	71.71217216
692	71.67618431
693	71.62988925
694	71.60508884
695	71.58676884
696	71.55312422
697	71.53776148
698	71.50628876
699	71.4789652
700	71.40976354
701	71.36812025
702	71.31795114
703	71.26559874
704	71.24459651
705	71.20222183
706	71.16780746
707	71.09621953
708	71.0705098
709	71.06080005
710	71.05018312
711	71.0403062
712	70.97822195
713	70.93549781
714	70.92279306
715	70.90930002
716	70.89063457
717	70.85298142
718	70.7773139
719	70.76643316
720	70.72641318
721	70.67630521
722	70.64347149
723	70.6111758
724	70.54509101
725	70.52355338
726	70.51129529
727	70.47313093
728	70.43167585
729	70.36423885
730	70.32406744
731	70.2264333
732	70.21517469
733	70.20530898
734	70.19914189
735	70.17552129
736	70.16903594
737	70.10737006
738	70.07571909
739	70.06832933
740	70.05007997
741	69.98684015
742	69.96784932
743	69.89432055
744	69.86641997
745	69.83418497
746	69.76445183
747	69.75586419
748	69.71695549
749	69.66209454
750	69.64010954
751	69.60957146
752	69.58504578
753	69.56405738
754	69.53936602
755	69.50107401
756	69.45632042
757	69.44151026
758	69.42149002
759	69.40437278
760	69.36749802
761	69.34746794
762	69.27825803
763	69.2235236
764	69.19355597
765	69.16312823
766	69.13216757
767	69.12635161
768	69.08529231
769	69.03149253
770	69.01085066
771	68.97629691
772	68.92753324
773	68.92272328
774	68.89522293
775	68.8265756
776	68.771167
777	68.73733436
778	68.72876953
779	68.65274053
780	68.60234057
781	68.59040671
782	68.58323244
783	68.5641092
784	68.51721291
785	68.47487932
786	68.44792203
787	68.39166686
788	68.37108085
789	68.3401965
790	68.28758941
791	68.27928474
792	68.25378021
793	68.23651887
794	68.19681951
795	68.15087173
796	68.1196364
797	68.07052362
798	68.04359763
799	68.03215345
800	67.97748355
801	67.96150971
802	67.92876159
803	67.88549923
804	67.84076207
805	67.81144319
806	67.79662325
807	67.71870345
808	67.69282206
809	67.61861478
810	67.52749977
811	67.50330396
812	67.47008991
813	67.45314259
814	67.42739989
815	67.41051657
816	67.39009028
817	67.34747216
818	67.31863255
819	67.29020925
820	67.26667523
821	67.21751439
822	67.19162892
823	67.15947515
824	67.13926668
825	67.10052238
826	67.07602063
827	67.05291402
828	67.01716015
829	66.9661629
830	66.94224507
831	66.92821938
832	66.8964148
833	66.86564093
834	66.81202092
835	66.770734
836	66.71471751
837	66.69808589
838	66.62281906
839	66.60544107
840	66.56641336
841	66.54823344
842	66.51874595
843	66.51179149
844	66.49961514
845	66.47388439
846	66.42635169
847	66.39408179
848	66.35118928
849	66.32748172
850	66.28958377
851	66.2761304
852	66.22061322
853	66.20639984
854	66.17772033
855	66.14353911
856	66.12498627
857	66.07825434
858	66.04083088
859	66.03256351
860	66.00803759
861	65.94601708
862	65.89682814
863	65.84808724
864	65.82212562
865	65.80459361
866	65.77838881
867	65.7616244
868	65.7141097
869	65.6520425
870	65.59405668
871	65.55855335
872	65.53829738
873	65.46490086
874	65.43438645
875	65.40397385
876	65.3406882
877	65.30710652
878	65.29221961
879	65.26366054
880	65.24209709
881	65.18226288
882	65.13937541
883	65.10269171
884	65.07560062
885	65.05971833
886	65.00938876
887	64.99749039
888	64.9831169
889	64.93729369
890	64.90476443
891	64.84606454
892	64.81892469
893	64.80823039
894	64.77325931
895	64.71833206
896	64.68517179
897	64.665894
898	64.64795467
899	64.62508067
900	64.58350311
901	64.57400728
902	64.54596375
903	64.49865665
904	64.45786211
905	64.44497743
906	64.40936638
907	64.39738815
908	64.38312026
909	64.33832089
910	64.3252248
911	64.28770664
912	64.23304146
913	64.20166672
914	64.19322836
915	64.15171115
916	64.10660429
917	64.1040975
918	64.04740451
919	64.00665297
920	63.97486133
921	63.95593461
922	63.9118545
923	63.85859311
924	63.83865786
925	63.81283537
926	63.7955571
927	63.75961434
928	63.71783459
929	63.71107637
930	63.65734122
931	63.62294397
932	63.58674861
933	63.54173643
934	63.52698983
935	63.50592301
936	63.48299611
937	63.43730491
938	63.39297344
939	63.37543944
940	63.34758844
941	63.32516667
942	63.31567467
943	63.3128091
944	63.28026633
945	63.23811893
946	63.23358952
947	63.18840691
948	63.16973083
949	63.14814479
950	63.143939
951	63.12152336
952	63.10321274
953	63.0993571
954	63.06305414
955	63.03298911
956	62.98806923
957	62.92045003
958	62.88748832
959	62.83372793
960	62.78891836
961	62.76794089
962	62.73727054
963	62.71768669
964	62.70074833
965	62.65475637
966	62.63363053
967	62.60512096
968	62.54897932
969	62.51094485
970	62.46997868
971	62.44766108
972	62.43322239
973	62.40497414
974	62.37725095
975	62.32093027
976	62.29015895
977	62.28006231
978	62.25376657
979	62.23003009
980	62.18735562
981	62.1698586
982	62.11963736
983	62.07590854
984	62.04566044
985	62.01764056
986	62.00418881
987	61.95142032
988	61.92139585
989	61.885324
990	61.84772923
991	61.81945074
992	61.79269246
993	61.76532523
994	61.72298205
995	61.68979717
996	61.66245219
997	61.63174309
998	61.6021695
999	61.57577193
